 #        t           theta             dtheta/dt=u       Energía        E_energía
  0.168000000E+01  0.135466832E+01  0.248270429E+00  0.122417438E+01  0.293040192E-08
  0.169000000E+01  0.132944375E+01  0.261692072E+00  0.122417438E+01  0.300728131E-08
  0.170000000E+01  0.130293510E+01  0.274855024E+00  0.122417438E+01  0.307990344E-08
  0.171000000E+01  0.127517251E+01  0.287746594E+00  0.122417438E+01  0.314756754E-08
  0.172000000E+01  0.124618727E+01  0.300354398E+00  0.122417438E+01  0.320966365E-08
  0.173000000E+01  0.121601171E+01  0.312666371E+00  0.122417438E+01  0.326567551E-08
  0.174000000E+01  0.118467917E+01  0.324670775E+00  0.122417438E+01  0.331518946E-08
  0.175000000E+01  0.115222392E+01  0.336356212E+00  0.122417438E+01  0.335789974E-08
  0.176000000E+01  0.111868108E+01  0.347711628E+00  0.122417438E+01  0.339360984E-08
  0.177000000E+01  0.108408657E+01  0.358726327E+00  0.122417438E+01  0.342223094E-08
  0.178000000E+01  0.104847703E+01  0.369389976E+00  0.122417438E+01  0.344378526E-08
  0.179000000E+01  0.101188979E+01  0.379692609E+00  0.122417438E+01  0.345839890E-08
  0.180000000E+01  0.974362771E+00  0.389624639E+00  0.122417438E+01  0.346630125E-08
  0.181000000E+01  0.935934459E+00  0.399176860E+00  0.122417438E+01  0.346781537E-08
  0.182000000E+01  0.896643832E+00  0.408340453E+00  0.122417438E+01  0.346335294E-08
  0.183000000E+01  0.856530316E+00  0.417106993E+00  0.122417438E+01  0.345340734E-08
  0.184000000E+01  0.815633734E+00  0.425468449E+00  0.122417438E+01  0.343854190E-08
  0.185000000E+01  0.773994261E+00  0.433417192E+00  0.122417438E+01  0.341937945E-08
  0.186000000E+01  0.731652382E+00  0.440945993E+00  0.122417438E+01  0.339659723E-08
  0.187000000E+01  0.688648855E+00  0.448048034E+00  0.122417438E+01  0.337090800E-08
  0.188000000E+01  0.645024669E+00  0.454716901E+00  0.122417438E+01  0.334305561E-08
  0.189000000E+01  0.600821017E+00  0.460946595E+00  0.122417438E+01  0.331379857E-08
  0.190000000E+01  0.556079263E+00  0.466731528E+00  0.122417438E+01  0.328390093E-08
  0.191000000E+01  0.510840915E+00  0.472066525E+00  0.122417438E+01  0.325412297E-08
  0.192000000E+01  0.465147605E+00  0.476946829E+00  0.122417438E+01  0.322520721E-08
  0.193000000E+01  0.419041065E+00  0.481368100E+00  0.122417438E+01  0.319786797E-08
  0.194000000E+01  0.372563108E+00  0.485326413E+00  0.122417438E+01  0.317278670E-08
  0.195000000E+01  0.325755615E+00  0.488818263E+00  0.122417438E+01  0.315059556E-08
  0.196000000E+01  0.278660519E+00  0.491840566E+00  0.122417438E+01  0.313187476E-08
  0.197000000E+01  0.231319797E+00  0.494390655E+00  0.122417438E+01  0.311714143E-08
  0.198000000E+01  0.183775455E+00  0.496466283E+00  0.122417438E+01  0.310684634E-08
  0.199000000E+01  0.136069527E+00  0.498065625E+00  0.122417438E+01  0.310136561E-08
  0.200000000E+01  0.882440613E-01  0.499187275E+00  0.122417438E+01  0.310099546E-08
  0.201000000E+01  0.403411204E-01  0.499830248E+00  0.122417438E+01  0.310595194E-08
  0.202000000E+01 -0.759722612E-02  0.499993980E+00  0.122417438E+01  0.311636583E-08
  0.203000000E+01 -0.555289055E-01  0.499678326E+00  0.122417438E+01  0.313228110E-08
  0.204000000E+01 -0.103411845E+00  0.498883564E+00  0.122417438E+01  0.315365489E-08
  0.205000000E+01 -0.151203978E+00  0.497610392E+00  0.122417438E+01  0.318035798E-08
  0.206000000E+01 -0.198863246E+00  0.495859928E+00  0.122417438E+01  0.321217741E-08
  0.207000000E+01 -0.246347603E+00  0.493633710E+00  0.122417438E+01  0.324881810E-08
  0.208000000E+01 -0.293615024E+00  0.490933699E+00  0.122417438E+01  0.328990835E-08
  0.209000000E+01 -0.340623511E+00  0.487762273E+00  0.122417438E+01  0.333500116E-08
  0.210000000E+01 -0.387331100E+00  0.484122231E+00  0.122417438E+01  0.338358475E-08
  0.211000000E+01 -0.433695874E+00  0.480016793E+00  0.122417438E+01  0.343508533E-08
  0.212000000E+01 -0.479675971E+00  0.475449596E+00  0.122417438E+01  0.348887785E-08
  0.213000000E+01 -0.525229602E+00  0.470424696E+00  0.122417438E+01  0.354429219E-08
  0.214000000E+01 -0.570315064E+00  0.464946565E+00  0.122417438E+01  0.360062224E-08
  0.215000000E+01 -0.614890764E+00  0.459020094E+00  0.122417438E+01  0.365713881E-08
  0.216000000E+01 -0.658915235E+00  0.452650587E+00  0.122417438E+01  0.371309605E-08
  0.217000000E+01 -0.702347164E+00  0.445843764E+00  0.122417438E+01  0.376774545E-08
  0.218000000E+01 -0.745145420E+00  0.438605756E+00  0.122417438E+01  0.382034404E-08
  0.219000000E+01 -0.787269083E+00  0.430943105E+00  0.122417438E+01  0.387016819E-08
  0.220000000E+01 -0.828677479E+00  0.422862759E+00  0.122417438E+01  0.391652555E-08
  0.221000000E+01 -0.869330216E+00  0.414372074E+00  0.122417438E+01  0.395876221E-08
  0.222000000E+01 -0.909187225E+00  0.405478807E+00  0.122417438E+01  0.399627775E-08
  0.223000000E+01 -0.948208805E+00  0.396191114E+00  0.122417438E+01  0.402853084E-08
