 #        t           S        I       R
  0.189000000E+02  0.880051510E+02  0.427932929E+03  0.484061920E+03
  0.190000000E+02  0.861473178E+02  0.425523458E+03  0.488329224E+03
  0.191000000E+02  0.843389181E+02  0.423088777E+03  0.492572305E+03
  0.192000000E+02  0.825785816E+02  0.420630498E+03  0.496790921E+03
  0.193000000E+02  0.808649710E+02  0.418150187E+03  0.500984842E+03
  0.194000000E+02  0.791967820E+02  0.415649362E+03  0.505153856E+03
  0.195000000E+02  0.775727433E+02  0.413129491E+03  0.509297766E+03
  0.196000000E+02  0.759916155E+02  0.410591997E+03  0.513416387E+03
  0.197000000E+02  0.744521912E+02  0.408038257E+03  0.517509551E+03
  0.198000000E+02  0.729532945E+02  0.405469603E+03  0.521577103E+03
  0.199000000E+02  0.714937803E+02  0.402887322E+03  0.525618898E+03
  0.200000000E+02  0.700725342E+02  0.400292658E+03  0.529634808E+03
  0.201000000E+02  0.686884717E+02  0.397686814E+03  0.533624714E+03
  0.202000000E+02  0.673405374E+02  0.395070952E+03  0.537588511E+03
  0.203000000E+02  0.660277053E+02  0.392446191E+03  0.541526103E+03
  0.204000000E+02  0.647489773E+02  0.389813614E+03  0.545437408E+03
  0.205000000E+02  0.635033832E+02  0.387174264E+03  0.549322353E+03
  0.206000000E+02  0.622899798E+02  0.384529146E+03  0.553180874E+03
  0.207000000E+02  0.611078507E+02  0.381879229E+03  0.557012920E+03
  0.208000000E+02  0.599561053E+02  0.379225448E+03  0.560818446E+03
  0.209000000E+02  0.588338784E+02  0.376568703E+03  0.564597419E+03
  0.210000000E+02  0.577403295E+02  0.373909857E+03  0.568349813E+03
  0.211000000E+02  0.566746425E+02  0.371249746E+03  0.572075612E+03
  0.212000000E+02  0.556360245E+02  0.368589169E+03  0.575774807E+03
  0.213000000E+02  0.546237061E+02  0.365928898E+03  0.579447396E+03
  0.214000000E+02  0.536369399E+02  0.363269672E+03  0.583093388E+03
  0.215000000E+02  0.526750005E+02  0.360612204E+03  0.586712796E+03
  0.216000000E+02  0.517371839E+02  0.357957176E+03  0.590305640E+03
  0.217000000E+02  0.508228065E+02  0.355305244E+03  0.593871950E+03
  0.218000000E+02  0.499312051E+02  0.352657037E+03  0.597411758E+03
  0.219000000E+02  0.490617361E+02  0.350013159E+03  0.600925105E+03
  0.220000000E+02  0.482137747E+02  0.347374188E+03  0.604412037E+03
  0.221000000E+02  0.473867150E+02  0.344740678E+03  0.607872607E+03
  0.222000000E+02  0.465799688E+02  0.342113161E+03  0.611306871E+03
  0.223000000E+02  0.457929656E+02  0.339492143E+03  0.614714892E+03
  0.224000000E+02  0.450251519E+02  0.336878111E+03  0.618096737E+03
  0.225000000E+02  0.442759905E+02  0.334271531E+03  0.621452479E+03
  0.226000000E+02  0.435449605E+02  0.331672846E+03  0.624782194E+03
  0.227000000E+02  0.428315565E+02  0.329082480E+03  0.628085963E+03
  0.228000000E+02  0.421352881E+02  0.326500839E+03  0.631363872E+03
  0.229000000E+02  0.414556796E+02  0.323928310E+03  0.634616010E+03
  0.230000000E+02  0.407922698E+02  0.321365260E+03  0.637842470E+03
  0.231000000E+02  0.401446109E+02  0.318812041E+03  0.641043348E+03
  0.232000000E+02  0.395122687E+02  0.316268986E+03  0.644218745E+03
  0.233000000E+02  0.388948221E+02  0.313736415E+03  0.647368763E+03
  0.234000000E+02  0.382918623E+02  0.311214628E+03  0.650493509E+03
  0.235000000E+02  0.377029932E+02  0.308703914E+03  0.653593093E+03
  0.236000000E+02  0.371278299E+02  0.306204545E+03  0.656667625E+03
  0.237000000E+02  0.365659997E+02  0.303716778E+03  0.659717222E+03
  0.238000000E+02  0.360171404E+02  0.301240859E+03  0.662742000E+03
  0.239000000E+02  0.354809010E+02  0.298777019E+03  0.665742080E+03
  0.240000000E+02  0.349569407E+02  0.296325478E+03  0.668717582E+03
  0.241000000E+02  0.344449292E+02  0.293886440E+03  0.671668631E+03
  0.242000000E+02  0.339445457E+02  0.291460101E+03  0.674595353E+03
  0.243000000E+02  0.334554790E+02  0.289046645E+03  0.677497876E+03
  0.244000000E+02  0.329774272E+02  0.286646244E+03  0.680376329E+03
  0.245000000E+02  0.325100972E+02  0.284259058E+03  0.683230845E+03
  0.246000000E+02  0.320532048E+02  0.281885240E+03  0.686061555E+03
  0.247000000E+02  0.316064741E+02  0.279524931E+03  0.688868595E+03
  0.248000000E+02  0.311696372E+02  0.277178264E+03  0.691652099E+03
  0.249000000E+02  0.307424341E+02  0.274845360E+03  0.694412206E+03
  0.250000000E+02  0.303246128E+02  0.272526335E+03  0.697149053E+03
  0.251000000E+02  0.299159282E+02  0.270221293E+03  0.699862779E+03
  0.252000000E+02  0.295161426E+02  0.267930332E+03  0.702553525E+03
  0.253000000E+02  0.291250254E+02  0.265653542E+03  0.705221433E+03
  0.254000000E+02  0.287423524E+02  0.263391004E+03  0.707866644E+03
  0.255000000E+02  0.283679063E+02  0.261142793E+03  0.710489301E+03
  0.256000000E+02  0.280014756E+02  0.258908977E+03  0.713089548E+03
  0.257000000E+02  0.276428556E+02  0.256689616E+03  0.715667528E+03
  0.258000000E+02  0.272918468E+02  0.254484765E+03  0.718223388E+03
  0.259000000E+02  0.269482561E+02  0.252294472E+03  0.720757272E+03
  0.260000000E+02  0.266118955E+02  0.250118778E+03  0.723269326E+03
  0.261000000E+02  0.262825827E+02  0.247957721E+03  0.725759697E+03
  0.262000000E+02  0.259601404E+02  0.245811330E+03  0.728228530E+03
